SEN No.,Batch id,Batch No,Class Commencement Date,Dec,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Total hrs spent
GL122021246,GL-B23,23,06/06/2022,35,23,28,10,25,19,18,17,22,24,11,34,266
GL012022298,GL-B23,23,06/06/2022,27,20,31,37,15,31,30,12,14,24,13,25,279
GL122021267,GL-B23,23,06/06/2022,39,15,31,12,32,40,27,16,39,40,23,28,342
GL112021213,GL-B23,23,06/06/2022,34,11,19,32,29,36,20,15,13,23,17,34,283
GL102021168,GL-B23,23,06/06/2022,20,37,22,33,23,22,14,27,22,40,36,16,312
GL012022290,GL-B23,23,06/06/2022,29,18,11,23,16,21,18,16,27,35,23,10,247
GL012022271,GL-B23,23,06/06/2022,11,10,24,35,29,32,39,34,19,16,32,12,293
GL042022453,GL-B23,23,06/06/2022,30,12,19,26,26,13,21,32,37,13,26,12,267
NA,GL-B23,23,06/06/2022,15,11,38,15,29,15,30,36,32,12,23,32,288
GL012022285,GL-B23,23,06/06/2022,14,31,39,24,37,14,31,14,26,24,22,40,316
GL122021236,GL-B23,23,06/06/2022,31,27,18,15,12,26,29,17,20,32,22,23,272
GL092021114,GL-B24,24,28/06/2022,10,27,36,28,23,35,34,19,27,32,17,18,306
GL122021238,GL-B24,24,28/06/2022,27,23,25,11,24,32,14,35,23,21,10,28,273
GL012022296,GL-B24,24,28/06/2022,17,25,37,34,26,27,29,36,33,39,14,28,345
GL012022303,GL-B24,24,28/06/2022,31,39,32,26,32,34,13,25,31,40,10,29,342
NA,GL-B24,24,28/06/2022,20,39,33,36,25,26,12,33,38,35,25,37,359
GL022022304,GL-B24,24,28/06/2022,34,34,28,20,17,11,35,29,24,20,37,27,316
GL022022305,GL-B24,24,28/06/2022,35,23,36,12,31,36,15,26,14,11,15,20,274
GL022022313,GL-B24,24,28/06/2022,40,28,13,29,18,37,26,21,35,12,16,11,286
GL022022316,GL-B24,24,28/06/2022,35,38,37,17,22,39,21,18,36,12,35,11,321
GL022022317,GL-B24,24,28/06/2022,34,18,31,22,26,14,12,18,11,34,21,22,263
GL022022318,GL-B24,24,28/06/2022,33,15,20,17,11,40,25,20,40,20,25,31,297
GL022022321,GL-B24,24,28/06/2022,13,27,17,37,17,10,31,34,12,13,12,38,261
NA,GL-B24,24,28/06/2022,18,37,15,33,10,39,12,39,12,18,40,22,295
GL022022335,GL-B24,24,28/06/2022,11,39,17,31,40,20,24,25,34,13,17,17,288
GL022022337,GL-B24,24,28/06/2022,22,31,16,28,22,10,15,24,29,36,38,16,287
GL022022336,GL-B24,24,28/06/2022,25,17,14,19,27,14,24,35,31,26,10,37,279
GL022022345,GL-B24,24,28/06/2022,16,27,23,26,23,26,25,17,23,22,24,22,274
GL022022342,GL-B24,24,28/06/2022,29,24,38,28,20,10,10,22,25,22,25,12,265
GL032022343,GL-B24,24,28/06/2022,10,35,39,20,13,14,12,35,36,32,38,23,307
GL032022425,GL-B24,24,28/06/2022,39,32,18,40,40,34,34,40,32,39,28,17,393
GL022022340,GL-B24,24,28/06/2022,28,23,26,30,38,40,37,39,23,31,20,25,360
GL112021199,GL-B24,24,28/06/2022,16,38,11,29,23,10,38,22,10,13,36,28,274
GL112021198,GL-B24,24,28/06/2022,31,33,31,39,14,15,16,28,14,30,34,14,299
GL022022310,GL-B24,24,28/06/2022,35,18,38,23,38,26,26,15,13,13,20,18,283
GL122021263,GL-B24,24,28/06/2022,13,33,19,25,14,36,25,30,24,17,23,10,269
GL022022333,GL-B24,24,28/06/2022,10,19,24,13,18,21,23,32,17,23,38,13,251
GL122021262,GL-B24,24,28/06/2022,13,26,11,32,29,22,24,36,19,16,27,27,282
GL022022324,GL-B25,25,18/07/2022,11,13,27,22,34,35,29,18,33,23,20,18,283
GL112021219,GL-B25,25,18/07/2022,22,15,12,27,33,22,34,26,21,24,33,19,288
GL012022297,GL-B25,25,18/07/2022,29,22,19,15,34,31,39,19,33,38,16,19,314
GL012022302,GL-B25,25,18/07/2022,37,21,40,29,17,23,11,31,22,21,21,28,301
GL022022311,GL-B25,25,18/07/2022,38,22,15,16,11,30,10,39,29,33,32,17,292
GL022022312,GL-B25,25,18/07/2022,20,25,22,31,37,29,20,22,27,35,38,36,342
GL022022314,GL-B25,25,18/07/2022,12,12,37,34,19,39,12,10,29,23,36,27,290
GL022022334,GL-B25,25,18/07/2022,21,24,40,35,17,24,38,26,31,16,20,38,330
GL082021100,GL-B25,25,18/07/2022,23,12,20,29,34,32,39,11,32,32,26,22,312
GL022022339,GL-B25,25,18/07/2022,30,18,11,28,24,18,32,39,28,32,38,25,323
GL022022341,GL-B25,25,18/07/2022,25,17,16,28,26,17,40,29,40,25,39,16,318
GL032022358,GL-B25,25,18/07/2022,33,26,39,10,13,34,16,18,34,34,18,24,299
GL032022381,GL-B25,25,18/07/2022,21,34,15,28,39,23,32,16,38,28,37,37,348
GL122021251,GL-B25,25,18/07/2022,16,31,17,15,31,34,40,21,32,32,28,32,329
GL012022274,GL-B25,25,18/07/2022,30,38,24,35,37,18,34,10,12,40,12,27,317
GL022022332,GL-B25,25,18/07/2022,40,39,16,33,39,31,13,24,40,10,24,38,347
GL122021245,GL-B25,25,18/07/2022,33,15,17,28,11,29,36,20,22,38,22,26,297
GL022022331,GL-B25,25,18/07/2022,32,39,29,25,11,16,32,10,15,26,19,24,278
GL052022561,GL-B26,26,25/01/2022,25,21,40,11,16,35,16,11,11,33,38,18,275
GL112021208,GL-B26,26,25/01/2022,22,36,21,38,39,23,35,39,26,35,39,35,388
GL022022343,GL-B26,26,25/01/2022,39,37,23,36,12,36,38,40,28,10,14,40,353
GL032022349,GL-B26,26,25/01/2022,16,26,25,40,16,39,34,29,15,22,36,38,336
GL032022352,GL-B26,26,25/01/2022,11,10,26,28,30,13,25,24,22,14,14,13,230
GL032022354,GL-B26,26,25/01/2022,21,30,39,32,21,23,32,24,16,38,15,10,301
NA,GL-B26,26,25/01/2022,19,37,15,20,31,35,23,10,34,35,25,13,297
GL032022363,GL-B26,26,25/01/2022,32,35,25,15,20,11,24,35,36,27,32,29,321
GL012022293,GL-B26,26,25/01/2022,24,27,18,24,31,19,14,23,11,32,31,39,293
GL032022366,GL-B26,26,25/01/2022,32,18,17,20,32,20,20,40,21,19,28,12,279
GL032022369,GL-B26,26,25/01/2022,34,37,31,13,24,32,17,29,26,34,16,37,330
GL032022371,GL-B26,26,25/01/2022,39,34,31,31,12,29,21,29,10,35,40,33,344
GL032022378,GL-B26,26,25/01/2022,22,22,21,37,22,34,35,30,23,37,20,20,323
GL032022379,GL-B26,26,25/01/2022,28,12,37,34,12,31,17,13,28,12,12,31,267
NA,GL-B26,26,25/01/2022,24,37,28,14,39,12,24,14,13,28,19,12,264
GL032022382,GL-B26,26,25/01/2022,34,31,26,16,25,33,23,20,17,14,33,40,312
GL032022383,GL-B26,26,25/01/2022,35,37,33,21,18,39,34,29,15,20,16,28,325
GL032022384,GL-B26,26,25/01/2022,15,39,20,25,39,34,17,22,22,10,20,22,285
GL032022389,GL-B26,26,25/01/2022,37,24,31,13,14,11,21,34,19,37,30,18,289
GL032022390,GL-B26,26,25/01/2022,38,38,32,34,40,22,14,26,10,40,37,31,362
GL032022391,GL-B26,26,25/01/2022,13,27,11,21,38,36,33,11,27,40,11,34,302
GL032022394,GL-B26,26,25/01/2022,23,13,25,17,11,39,18,17,26,22,23,36,270
GL032022392,GL-B26,26,25/01/2022,13,21,16,17,25,12,30,39,19,20,19,11,242
GL022022329,GL-B26,26,25/01/2022,18,30,19,33,19,25,17,32,14,24,30,21,282
GL032022404,GL-B26,26,25/01/2022,17,13,39,35,40,12,20,25,18,18,13,15,265
GL032022400,GL-B26,26,25/01/2022,33,21,22,28,31,23,35,36,22,34,33,40,358
GL032022405,GL-B26,26,25/01/2022,19,40,14,27,24,36,36,26,24,11,38,11,306
GL032022403,GL-B26,26,25/01/2022,24,31,36,11,23,31,18,33,21,10,12,18,268
GL032022408,GL-B26,26,25/01/2022,19,12,12,33,38,17,17,35,35,29,10,17,274
GL032022376,GL-B26,26,25/01/2022,36,16,18,25,26,36,18,40,12,37,22,34,320
GL032022407,GL-B26,26,25/01/2022,38,20,12,16,28,32,22,15,23,37,30,26,299
GL112021193,GL-B26,26,25/01/2022,37,13,35,21,11,24,21,20,22,17,30,23,274
GL122021238,GL-B26,26,25/01/2022,28,30,14,15,30,20,25,17,10,33,24,34,280
GL042022512,GL-B26,26,25/01/2022,11,30,26,30,38,37,17,36,33,27,16,17,318
GL022022315,GL-B26,26,25/01/2022,25,26,21,23,23,19,21,34,17,31,27,26,293
GL112021181,GL-B27,27,02/10/2022,34,16,37,10,13,12,21,11,23,35,29,32,273
GL032022397,GL-B27,27,02/10/2022,12,38,28,25,22,15,12,31,40,22,21,32,298
GL0120211892,GL-B27,27,02/10/2022,25,26,30,11,34,35,13,33,13,19,20,10,269
GL022022323,GL-B27,27,02/10/2022,14,24,26,39,22,27,14,19,34,13,10,14,256
GL022022330,GL-B27,27,02/10/2022,34,15,14,35,13,11,37,11,28,19,29,23,269
GL022022330,GL-B27,27,02/10/2022,14,12,39,35,24,21,12,14,34,10,14,18,247
GL022022347,GL-B27,27,02/10/2022,17,36,32,22,17,15,20,12,23,37,14,28,273
GL022022348,GL-B27,27,02/10/2022,31,10,25,30,20,17,39,24,18,37,11,27,289
GL032022350,GL-B27,27,02/10/2022,32,29,39,15,14,23,16,26,24,23,22,34,297
GL102021157,GL-B27,27,02/10/2022,24,28,24,17,34,14,38,29,12,37,16,22,295
GL032022351,GL-B27,27,02/10/2022,39,39,19,27,22,11,39,11,26,33,18,30,314
GL022022308,GL-B27,27,02/10/2022,17,35,26,27,12,34,33,25,22,24,20,16,291
GL022022326,GL-B27,27,02/10/2022,39,11,21,19,17,32,21,14,17,24,33,39,287
GL032022355,GL-B27,27,02/10/2022,40,12,20,36,18,10,30,19,10,23,10,28,256
GL012022288,GL-B27,27,02/10/2022,19,24,35,18,40,37,30,18,10,25,10,22,288
GL022022319,GL-B27,27,02/10/2022,34,26,34,36,39,15,14,36,40,36,19,37,366
GL032022361,GL-B27,27,02/10/2022,26,21,18,28,10,21,20,36,26,14,15,18,253
GL102021161,GL-B27,27,02/10/2022,33,27,14,12,34,27,17,12,16,11,23,14,240
GL032022375,GL-B27,27,02/10/2022,31,12,11,40,14,40,32,25,16,27,30,23,301
GL032022377,GL-B27,27,02/10/2022,18,10,14,30,18,39,32,25,34,37,40,11,308
GL032022385,GL-B27,27,02/10/2022,22,16,37,40,11,22,30,29,29,24,32,30,322
GL032022386,GL-B27,27,02/10/2022,39,12,39,33,30,24,22,27,10,15,28,11,290
GL032022387,GL-B27,27,02/10/2022,11,32,40,27,11,12,16,28,21,11,25,14,248
GL032022388,GL-B27,27,02/10/2022,28,10,23,26,39,21,14,34,27,10,28,39,299
GL032022398,GL-B27,27,02/10/2022,13,26,16,21,38,23,14,12,35,12,20,30,260
GL032022399,GL-B27,27,02/10/2022,25,24,30,32,31,25,13,14,25,38,14,34,305
GL032022401,GL-B27,27,02/10/2022,35,37,24,38,18,22,25,16,14,38,26,20,313
GL032022402,GL-B27,27,02/10/2022,20,18,34,28,37,38,14,26,23,18,16,12,284
GL032022428,GL-B27,27,02/10/2022,21,14,30,37,16,16,31,31,16,27,23,33,295
GL012022309,GL-B27,27,02/10/2022,33,22,33,30,35,16,19,14,13,21,13,24,273
GL032022393,GL-B27,27,02/10/2022,21,20,22,13,18,10,16,11,11,17,13,10,182
GL032022420,GL-B27,27,02/10/2022,19,23,17,18,13,14,16,37,20,34,16,36,263
GL112021214,GL-B27,27,02/10/2022,26,32,22,33,14,13,32,26,28,33,31,25,315
GL032022406,GL-B28,28,20/07/2022,21,12,36,39,27,12,31,30,26,18,32,36,320
GL022022307,GL-B28,28,20/07/2022,18,28,26,20,26,36,16,31,28,29,10,17,285
GL032022416,GL-B28,28,20/07/2022,38,33,17,39,13,34,18,18,26,37,34,23,330
NA,GL-B28,28,20/07/2022,12,36,30,38,35,37,35,14,15,26,25,33,336
GL032022421,GL-B28,28,20/07/2022,37,19,23,39,10,20,11,15,32,28,30,22,286
GL032022432,GL-B28,28,20/07/2022,12,31,34,35,28,18,26,26,18,23,18,29,298
GL042022544,GL-B28,28,20/07/2022,11,21,28,25,23,20,39,22,40,32,34,13,308
GL032022441,GL-B28,28,20/07/2022,31,27,32,10,11,25,12,37,33,31,12,28,289
GL042022466,GL-B28,28,20/07/2022,16,38,31,30,18,15,15,32,36,16,12,14,273
GL042022455,GL-B28,28,20/07/2022,26,21,28,15,36,10,26,16,39,20,22,37,296
GL032022418,GL-B28,28,20/07/2022,27,27,34,35,35,19,23,34,32,14,22,40,342
GL032022435,GL-B28,28,20/07/2022,19,20,17,12,23,36,29,13,39,39,31,22,300
GL042022484,GL-B28,28,20/07/2022,20,34,34,17,40,20,19,27,34,28,39,36,348
GL012022286,GL-B28,28,20/07/2022,16,30,22,31,15,10,21,30,17,29,26,23,270
GL032022409,GL-B28,28,20/07/2022,39,20,13,24,17,32,21,19,28,39,23,33,308
GL042022481,GL-B28,28,20/07/2022,38,36,20,16,25,31,19,38,35,39,23,31,351
GL032022374,GL-B28,28,20/07/2022,37,11,25,26,31,13,28,24,19,10,17,37,278
GL032022422,GL-B28,28,20/07/2022,19,38,40,31,18,13,25,24,11,16,38,26,299
GL032022417,GL-B28,28,20/07/2022,36,13,32,21,11,10,16,29,20,24,40,40,292
GL042022473,GL-B28,28,20/07/2022,32,11,35,36,12,21,39,27,32,32,29,11,317
GL042022487,GL-B28,28,20/07/2022,28,16,16,28,11,18,14,14,33,29,19,14,240
GL042022491,GL-B28,28,20/07/2022,25,29,40,19,23,16,22,19,33,21,15,37,299
GL032022411,GL-B28,28,20/07/2022,40,19,19,20,40,17,38,24,10,37,37,38,339
GL032022443,GL-B28,28,20/07/2022,13,10,26,12,31,19,23,39,14,26,27,24,264
GL042022462,GL-B28,28,20/07/2022,19,13,18,29,19,22,31,39,19,23,21,20,273
GL042022446,GL-B28,28,20/07/2022,16,16,28,37,29,11,29,23,36,12,20,40,297
GL042022485,GL-B28,28,20/07/2022,26,15,38,18,23,11,30,24,16,15,10,10,236
GL042022465,GL-B28,28,20/07/2022,37,33,18,39,36,14,33,21,27,10,19,28,315
GL042022463,GL-B28,28,20/07/2022,12,12,37,14,32,22,31,26,36,39,30,32,323
GL042022489,GL-B28,28,20/07/2022,30,21,27,12,11,18,39,21,32,36,15,28,290
GL042022477,GL-B28,28,20/07/2022,39,37,24,24,38,11,21,18,14,18,37,22,303
GL042022492,GL-B28,28,20/07/2022,27,11,33,22,18,13,12,22,15,20,10,27,230
GL082021104,GL-B29,29,26/05/2022,39,19,11,25,25,30,26,31,17,23,39,16,301
GL032022362,GL-B29,29,26/05/2022,21,19,39,15,16,34,32,20,38,35,24,33,326
GL042022510,GL-B29,29,26/05/2022,11,29,16,18,32,36,27,19,16,35,31,35,305
GL042022505,GL-B29,29,26/05/2022,24,39,11,24,27,13,30,18,28,22,28,30,294
GL032022426,GL-B29,29,26/05/2022,19,18,17,12,19,10,36,39,37,15,10,34,266
GL042022471,GL-B29,29,26/05/2022,22,16,10,31,27,35,23,28,23,23,33,32,303
GL042022452,GL-B29,29,26/05/2022,16,35,39,18,10,32,40,12,21,10,27,15,275
GL042022447,GL-B29,29,26/05/2022,21,38,34,26,10,30,31,32,32,26,35,20,335
GL032022429,GL-B29,29,26/05/2022,36,14,36,10,34,21,21,36,16,37,34,12,307
GL042022459,GL-B29,29,26/05/2022,17,17,17,18,34,36,19,32,29,34,20,32,305
GL032022436,GL-B29,29,26/05/2022,13,21,20,27,21,27,38,19,32,15,20,38,291
GL032022433,GL-B29,29,26/05/2022,24,15,22,20,17,30,22,29,11,28,11,35,264
GL032022440,GL-B29,29,26/05/2022,28,23,28,13,39,11,18,13,29,15,34,34,285
GL042022464,GL-B29,29,26/05/2022,40,20,18,29,14,40,15,31,30,30,10,10,287
GL032022437,GL-B29,29,26/05/2022,32,21,21,39,37,19,10,33,27,15,28,33,315
GL042022460,GL-B29,29,26/05/2022,12,23,36,34,28,37,29,22,22,36,19,12,310
GL032022415,GL-B29,29,26/05/2022,29,31,38,16,24,17,31,13,28,19,22,32,300
GL042022461,GL-B29,29,26/05/2022,37,19,22,37,10,35,20,29,24,12,37,24,306
GL032022439,GL-B29,29,26/05/2022,19,33,40,12,20,30,17,32,38,20,24,13,298
GL042022483,GL-B29,29,26/05/2022,14,40,24,19,21,28,18,30,11,34,23,25,287
GL042022475,GL-B29,29,26/05/2022,19,40,14,17,31,24,17,26,39,36,22,24,309
GL042022448,GL-B29,29,26/05/2022,12,28,13,24,10,10,19,18,36,13,12,24,219
GL032022431,GL-B29,29,26/05/2022,40,37,12,37,34,25,40,29,18,20,36,19,347
GL042022445,GL-B29,29,26/05/2022,14,40,13,39,12,38,37,11,38,29,34,30,335
GL042022445,GL-B29,29,26/05/2022,19,11,18,11,17,33,24,12,13,40,12,28,238
GL042022445,GL-B29,29,26/05/2022,29,10,35,13,30,30,12,12,38,25,34,31,299
GL032022372,GL-B29,29,26/05/2022,16,22,35,11,32,32,10,31,24,18,17,33,281
GL042022482,GL-B29,29,26/05/2022,16,11,35,27,29,23,20,18,25,30,31,16,281
NA,GL-B29,29,26/05/2022,28,40,29,15,11,37,38,39,20,13,11,15,296
GL122021266,GL-B29,29,26/05/2022,21,24,16,26,35,24,19,32,20,35,26,20,298
GL042022454,GL-B29,29,26/05/2022,12,36,10,33,16,33,40,17,28,26,18,39,308
GL042022457,GL-B29,29,26/05/2022,21,24,34,14,27,37,33,36,36,20,12,30,324
GL042022467,GL-B29,29,26/05/2022,31,31,28,13,20,10,12,40,33,16,24,23,281
GL032022442,GL-B29,29,26/05/2022,27,15,23,20,38,21,35,19,11,19,40,34,302
GL042022444,GL-B29,29,26/05/2022,34,36,23,34,16,19,16,38,31,17,36,38,338
GL022022322,GL-B29,29,26/05/2022,30,33,22,25,40,36,17,15,11,30,23,40,322
GL022022306,GL-B29,29,26/05/2022,34,29,33,21,28,20,32,20,19,25,13,20,294
GL032022359,GL-B30,30,19/06/2022,34,20,40,13,15,16,11,27,15,20,10,32,253
GL122021250,GL-B30,30,19/06/2022,31,34,30,19,36,11,27,16,14,40,29,11,298
GL042022518,GL-B30,30,19/06/2022,14,17,28,27,23,15,19,29,26,14,19,13,244
GL042022501,GL-B30,30,19/06/2022,23,34,22,18,29,34,35,10,19,37,26,33,320
GL042022496,GL-B30,30,19/06/2022,12,27,30,18,10,28,35,36,37,40,20,39,332
GL042022497,GL-B30,30,19/06/2022,10,21,21,26,36,11,13,40,29,32,29,39,307
GL032022395,GL-B30,30,19/06/2022,39,18,19,40,19,31,23,35,15,30,36,30,335
GL032022438,GL-B30,30,19/06/2022,28,36,32,25,14,18,24,20,17,21,13,16,264
GL042022490,GL-B30,30,19/06/2022,40,36,27,26,26,13,21,20,40,32,15,26,322
GL122021232,GL-B30,30,19/06/2022,26,30,20,14,13,26,30,37,34,19,24,11,284
GL032022357,GL-B30,30,19/06/2022,40,39,37,19,21,10,35,18,34,19,22,21,315
GL032022370,GL-B30,30,19/06/2022,21,15,23,38,22,37,22,17,16,37,10,11,269
GL042022469,GL-B30,30,19/06/2022,28,26,36,13,34,33,32,34,10,23,15,35,319
GL042022474,GL-B30,30,19/06/2022,12,33,23,34,29,26,28,19,37,37,27,23,328
GL042022479,GL-B30,30,19/06/2022,39,25,35,36,30,20,16,30,13,25,27,34,330
GL042022478,GL-B30,30,19/06/2022,39,17,22,36,23,22,35,15,19,40,29,11,308
GL022022327,GL-B30,30,19/06/2022,23,21,28,14,13,22,14,21,23,28,31,25,263
GL0120211891,GL-B31,31,07/12/2022,35,21,37,12,27,40,28,20,24,18,38,26,326
GL032022419,GL-B31,31,07/12/2022,14,11,18,14,18,21,10,25,15,37,29,38,250
GL032022413,GL-B31,31,07/12/2022,29,14,27,17,26,19,10,14,13,29,10,21,229
NA,GL-B31,31,07/12/2022,31,27,33,36,30,30,13,12,13,18,30,35,308
GL042022494,GL-B31,31,07/12/2022,10,29,16,29,40,30,26,22,15,12,10,12,251
GL042022502,GL-B31,31,07/12/2022,35,21,36,34,27,21,25,11,19,38,16,26,309
GL042022503,GL-B31,31,07/12/2022,28,11,12,37,31,23,38,11,13,21,26,24,275
GL042022507,GL-B31,31,07/12/2022,28,30,34,36,29,31,11,32,38,21,12,28,330
GL042022513,GL-B31,31,07/12/2022,26,10,31,21,10,25,18,24,31,17,11,30,254
GL042022514,GL-B31,31,07/12/2022,10,26,12,29,29,11,27,25,19,33,16,15,252
GL042022524,GL-B31,31,07/12/2022,28,21,10,35,34,33,24,28,30,20,15,26,304
GL042022525,GL-B31,31,07/12/2022,40,37,24,24,14,34,36,38,21,15,12,12,307
GL042022527,GL-B31,31,07/12/2022,39,28,22,15,26,39,37,11,18,21,28,14,298
GL042022526,GL-B31,31,07/12/2022,19,35,30,40,28,30,12,25,37,16,23,27,322
GL042022528,GL-B31,31,07/12/2022,12,21,35,24,32,31,28,11,27,23,27,34,305
GL042022537,GL-B31,31,07/12/2022,15,26,38,29,16,26,13,36,33,31,38,40,341
GL042022539,GL-B31,31,07/12/2022,16,37,16,25,31,16,10,18,14,39,17,17,256
GL042022541,GL-B31,31,07/12/2022,35,34,29,20,15,38,37,11,38,24,33,34,348
GL042022540,GL-B31,31,07/12/2022,28,17,12,38,29,10,26,40,21,28,22,10,281
GL042022493,GL-B31,31,07/12/2022,22,39,18,28,10,19,35,23,10,33,12,17,266
GL042022542,GL-B31,31,07/12/2022,35,31,33,40,30,11,40,32,19,27,13,33,344
GL042022543,GL-B31,31,07/12/2022,37,26,39,29,33,39,36,18,35,36,22,31,381
GL042022546,GL-B31,31,07/12/2022,40,29,39,24,27,38,27,16,32,21,27,18,338
GL052022547,GL-B31,31,07/12/2022,29,29,12,10,21,35,36,34,18,36,35,39,334
GL052022548,GL-B31,31,07/12/2022,34,40,32,35,25,12,17,33,19,11,25,30,313
GL052022554,GL-B31,31,07/12/2022,39,11,26,38,39,19,25,29,20,10,38,19,313
GL052022559,GL-B31,31,07/12/2022,30,21,23,24,27,14,38,34,38,38,29,39,355
GL052022560,GL-B31,31,07/12/2022,20,26,12,22,36,29,26,40,33,23,17,37,321
GL052022565,GL-B31,31,07/12/2022,11,14,13,22,25,37,16,17,39,11,13,10,228
GL052022567,GL-B31,31,07/12/2022,34,40,31,33,37,22,16,10,20,14,35,40,332
GL052022577,GL-B31,31,07/12/2022,31,21,31,20,14,26,12,16,16,18,26,38,269
GL052022574,GL-B31,31,07/12/2022,21,24,11,19,30,20,35,33,34,35,17,22,301
GL042022499,GL-B31,31,07/12/2022,38,34,17,20,36,17,14,27,17,15,23,10,268
GL022022338,GL-B31,31,07/12/2022,22,37,23,25,11,32,31,16,38,30,29,18,312
GL102021153,GL-B31,31,07/12/2022,33,29,14,32,15,22,29,13,37,19,39,29,311
GL082021111,GL-B32,32,30/10/2022,21,36,21,37,30,11,13,28,20,15,24,24,280
GL032022396,GL-B32,32,30/10/2022,29,12,25,26,16,35,11,17,24,24,27,14,260
GL042022480,GL-B32,32,30/10/2022,30,33,33,29,10,25,16,25,11,22,28,30,292
GL042022495,GL-B32,32,30/10/2022,19,34,25,35,12,23,24,33,14,24,13,23,279
GL042022506,GL-B32,32,30/10/2022,11,12,40,20,31,22,34,35,28,16,24,24,297
GL042022509,GL-B32,32,30/10/2022,40,14,22,12,37,36,38,34,32,37,31,19,352
GL042022512,GL-B32,32,30/10/2022,12,12,21,32,34,25,34,11,10,30,32,37,290
GL042022520,GL-B32,32,30/10/2022,13,20,17,24,32,34,10,15,32,12,18,27,254
GL042022522,GL-B32,32,30/10/2022,16,29,25,14,13,31,26,39,39,25,36,30,323
GL042022523,GL-B32,32,30/10/2022,29,29,34,36,22,27,12,24,17,28,11,24,293
GL042022533,GL-B32,32,30/10/2022,20,28,18,23,14,20,26,11,13,40,26,19,258
GL042022534,GL-B32,32,30/10/2022,39,12,32,39,14,16,24,20,22,27,21,22,288
GL042022535,GL-B32,32,30/10/2022,12,39,35,18,28,26,40,24,40,25,21,34,342
GL042022538,GL-B32,32,30/10/2022,21,28,40,36,26,28,36,40,14,38,18,20,345
GL042022536,GL-B32,32,30/10/2022,14,31,10,31,11,12,14,17,36,21,11,31,239
GL042022545,GL-B32,32,30/10/2022,12,28,13,18,16,37,32,31,35,15,12,32,281
GL052022549,GL-B32,32,30/10/2022,29,40,19,18,14,20,23,32,21,14,29,35,294
GL052022550,GL-B32,32,30/10/2022,13,37,28,28,40,36,23,31,11,12,20,34,313
GL052022551,GL-B32,32,30/10/2022,38,24,31,38,28,21,36,24,13,26,22,26,327
GL052022553,GL-B32,32,30/10/2022,13,21,19,19,20,12,35,40,13,31,25,24,272
GL052022556,GL-B32,32,30/10/2022,13,29,22,34,20,30,26,27,12,23,29,19,284
GL052022557,GL-B32,32,30/10/2022,21,31,40,35,22,34,34,34,32,19,35,39,376
GL052022563,GL-B32,32,30/10/2022,16,35,17,34,34,24,24,39,35,15,14,30,317
GL052022568,GL-B32,32,30/10/2022,14,28,19,18,33,38,32,18,20,28,22,15,285
GL042022472,GL-B32,32,30/10/2022,31,19,36,39,28,36,38,27,29,19,23,37,362
GL032022423,GL-B32,32,30/10/2022,37,39,20,16,38,30,39,10,11,39,16,40,335
GL052022569,GL-B32,32,30/10/2022,19,27,37,32,34,19,21,14,36,29,24,16,308
GL042022529,GL-B32,32,30/10/2022,33,31,16,29,40,30,33,18,38,37,11,17,333
GL042022530,GL-B32,32,30/10/2022,20,15,28,14,36,39,24,30,33,22,13,38,312
GL052022576,GL-B32,32,30/10/2022,33,10,13,35,19,28,15,36,27,31,37,14,298
GL052022586,GL-B32,32,30/10/2022,20,33,10,12,36,28,26,30,35,34,29,10,303
GL052022587,GL-B32,32,30/10/2022,19,40,27,32,14,33,20,27,22,19,29,18,300
GL052022602,GL-B32,32,30/10/2022,19,37,27,37,34,27,21,16,23,38,28,36,343
GL052022606,GL-B32,32,30/10/2022,37,31,26,38,12,27,10,11,37,36,28,15,308
NA,GL-B32,32,30/10/2022,18,11,29,19,27,29,15,19,26,14,15,27,249
NA,GL-B32,32,30/10/2022,31,23,19,19,31,20,35,29,29,18,39,12,305
GL052022637,GL-B32,32,30/10/2022,26,29,10,16,15,34,28,34,19,29,13,19,272
GL052022654,GL-B32,32,30/10/2022,37,18,18,29,25,25,38,13,24,39,11,40,317
GL052022585,GL-B32,32,30/10/2022,21,10,31,35,27,39,23,18,24,10,31,24,293
GL032022414,GL-B32,32,30/10/2022,29,10,17,10,30,35,20,19,10,33,20,27,260
GL032022353,GL-B32,32,30/10/2022,23,29,14,29,29,23,13,13,27,13,28,13,254
GL052022605,GL-B32,32,30/10/2022,29,37,40,17,40,23,38,31,34,34,31,28,382
NA,GL-B32,32,30/10/2022,21,14,40,19,13,16,20,29,25,24,31,18,270
GL042022504,GL-B33,33,17/12/2022,40,28,11,21,12,38,26,14,29,39,31,36,325
GL062022695,GL-B33,33,17/12/2022,22,34,16,33,22,24,28,40,36,14,31,38,338
GL042022458,GL-B33,33,17/12/2022,16,36,15,28,29,17,36,18,15,33,37,18,298
GL042022458,GL-B33,33,17/12/2022,23,29,23,17,15,20,31,18,24,19,24,33,276
GL052022562,GL-B33,33,17/12/2022,18,25,29,32,27,16,29,40,22,36,19,25,318
GL052022566,GL-B33,33,17/12/2022,37,19,38,29,21,38,20,19,36,25,15,32,329
GL052022580,GL-B33,33,17/12/2022,40,35,19,15,25,36,26,26,16,20,26,20,304
GL052022583,GL-B33,33,17/12/2022,28,14,26,38,22,10,30,21,40,40,25,19,313
GL052022590,GL-B33,33,17/12/2022,35,14,34,25,26,12,40,35,39,16,24,35,335
