SEN No.,Batch No,Lms engagement throughout course,Class Commencement Date,Class End Date,Total time enrolled,Total observed time,Retention Rate
NA,28,311,20/07/2022,20/05/2023,304,-11,-27.64
GL032022421,28,286,20/07/2022,20/05/2023,304,14,21.71
GL032022432,28,298,20/07/2022,20/05/2023,304,2,152.00
GL042022544,28,308,20/07/2022,20/05/2023,304,-8,-38.00
GL032022441,28,289,20/07/2022,20/05/2023,304,11,27.64
GL042022466,28,273,20/07/2022,20/05/2023,304,27,11.26
GL042022455,28,296,20/07/2022,20/05/2023,304,4,76.00
GL032022418,28,342,20/07/2022,20/05/2023,304,-42,-7.24
GL032022435,28,300,20/07/2022,20/05/2023,304,0,#DIV/0!
GL042022484,28,348,20/07/2022,20/05/2023,304,-48,-6.33
GL012022286,28,270,20/07/2022,20/05/2023,304,30,10.13
GL032022409,28,308,20/07/2022,20/05/2023,304,-8,-38.00
GL042022481,28,351,20/07/2022,20/05/2023,304,-51,-5.96
GL032022374,28,278,20/07/2022,20/05/2023,304,22,13.82
GL032022422,28,299,20/07/2022,20/05/2023,304,1,304.00
GL032022417,28,292,20/07/2022,20/05/2023,304,8,38.00
GL042022473,28,317,20/07/2022,20/05/2023,304,-17,-17.88
GL042022487,28,240,20/07/2022,20/05/2023,304,60,5.07
GL042022491,28,299,20/07/2022,20/05/2023,304,1,304.00
GL032022411,28,339,20/07/2022,20/05/2023,304,-39,-7.79
GL032022443,28,264,20/07/2022,20/05/2023,304,36,8.44
GL042022462,28,273,20/07/2022,20/05/2023,304,27,11.26
GL042022446,28,297,20/07/2022,20/05/2023,304,3,101.33
GL042022485,28,236,20/07/2022,20/05/2023,304,64,4.75
GL042022465,28,315,20/07/2022,20/05/2023,304,-15,-20.27
GL042022463,28,323,20/07/2022,20/05/2023,304,-23,-13.22
GL042022489,28,290,20/07/2022,20/05/2023,304,10,30.40
GL042022477,28,303,20/07/2022,20/05/2023,304,-3,-101.33
GL042022492,28,230,20/07/2022,20/05/2023,304,70,4.34
GL082021104,28,301,20/07/2022,20/05/2023,304,-1,-304.00
GL032022362,28,326,20/07/2022,20/05/2023,304,-26,-11.69
GL042022510,29,305,26/05/2022,26/03/2023,304,-5,-60.80
GL042022505,29,294,26/05/2022,26/03/2023,304,6,50.67
GL032022426,29,266,26/05/2022,26/03/2023,304,34,8.94
GL042022471,29,303,26/05/2022,26/03/2023,304,-3,-101.33
GL042022452,29,275,26/05/2022,26/03/2023,304,25,12.16
GL042022447,29,335,26/05/2022,26/03/2023,304,-35,-8.69
GL032022429,29,307,26/05/2022,26/03/2023,304,-7,-43.43
GL042022459,29,305,26/05/2022,26/03/2023,304,-5,-60.80
GL032022436,29,291,26/05/2022,26/03/2023,304,9,33.78
GL032022433,29,264,26/05/2022,26/03/2023,304,36,8.44
GL032022440,29,285,26/05/2022,26/03/2023,304,15,20.27
GL042022464,29,287,26/05/2022,26/03/2023,304,13,23.38
GL032022437,29,315,26/05/2022,26/03/2023,304,-15,-20.27
GL042022460,29,310,26/05/2022,26/03/2023,304,-10,-30.40
GL032022415,29,300,26/05/2022,26/03/2023,304,0,#DIV/0!
GL042022461,29,306,26/05/2022,26/03/2023,304,-6,-50.67
GL032022439,29,298,26/05/2022,26/03/2023,304,2,152.00
GL042022483,29,287,26/05/2022,26/03/2023,304,13,23.38
GL042022475,29,309,26/05/2022,26/03/2023,304,-9,-33.78
GL042022448,29,219,26/05/2022,26/03/2023,304,81,3.75
GL032022431,29,347,26/05/2022,26/03/2023,304,-47,-6.47
GL042022445,29,335,26/05/2022,26/03/2023,304,-35,-8.69
GL042022445,29,335,26/05/2022,26/03/2023,304,-35,-8.69
GL042022445,29,335,26/05/2022,26/03/2023,304,-35,-8.69
GL032022372,29,281,26/05/2022,26/03/2023,304,19,16.00
GL042022482,29,281,26/05/2022,26/03/2023,304,19,16.00
NA,29,311,26/05/2022,26/03/2023,304,-11,-27.64
GL122021266,29,298,26/05/2022,26/03/2023,304,2,152.00
GL042022454,29,308,26/05/2022,26/03/2023,304,-8,-38.00
GL042022457,29,324,26/05/2022,26/03/2023,304,-24,-12.67
GL042022467,29,281,26/05/2022,26/03/2023,304,19,16.00
GL032022442,29,302,26/05/2022,26/03/2023,304,-2,-152.00
GL042022444,29,338,26/05/2022,26/03/2023,304,-38,-8.00
GL022022322,29,322,26/05/2022,26/03/2023,304,-22,-13.82
GL022022306,29,294,26/05/2022,26/03/2023,304,6,50.67
GL032022359,29,253,26/05/2022,26/03/2023,304,47,6.47
GL122021250,29,298,26/05/2022,26/03/2023,304,2,152.00
GL042022518,30,244,19/06/2022,19/04/2023,304,56,5.43
GL042022501,30,320,19/06/2022,19/04/2023,304,-20,-15.20
GL042022496,30,332,19/06/2022,19/04/2023,304,-32,-9.50
GL042022497,30,307,19/06/2022,19/04/2023,304,-7,-43.43
GL032022395,30,335,19/06/2022,19/04/2023,304,-35,-8.69
GL032022438,30,264,19/06/2022,19/04/2023,304,36,8.44
GL042022490,30,322,19/06/2022,19/04/2023,304,-22,-13.82
GL122021232,30,284,19/06/2022,19/04/2023,304,16,19.00
GL032022357,30,315,19/06/2022,19/04/2023,304,-15,-20.27
GL032022370,30,269,19/06/2022,19/04/2023,304,31,9.81
GL042022469,30,319,19/06/2022,19/04/2023,304,-19,-16.00
GL042022474,30,328,19/06/2022,19/04/2023,304,-28,-10.86
GL042022479,30,330,19/06/2022,19/04/2023,304,-30,-10.13
GL042022478,30,308,19/06/2022,19/04/2023,304,-8,-38.00
GL022022327,30,263,19/06/2022,19/04/2023,304,37,8.22
GL0120211891,30,326,19/06/2022,19/04/2023,304,-26,-11.69
GL032022419,30,250,19/06/2022,19/04/2023,304,50,6.08
GL032022413,31,229,07/12/2022,07/10/2023,304,71,4.28
NA,31,311,07/12/2022,07/10/2023,304,-11,-27.64
GL042022494,31,251,07/12/2022,07/10/2023,304,49,6.20
GL042022502,31,309,07/12/2022,07/10/2023,304,-9,-33.78
GL042022503,31,275,07/12/2022,07/10/2023,304,25,12.16
GL042022507,31,330,07/12/2022,07/10/2023,304,-30,-10.13
GL042022513,31,254,07/12/2022,07/10/2023,304,46,6.61
GL042022514,31,252,07/12/2022,07/10/2023,304,48,6.33
GL042022524,31,304,07/12/2022,07/10/2023,304,-4,-76.00
GL042022525,31,307,07/12/2022,07/10/2023,304,-7,-43.43
GL042022527,31,298,07/12/2022,07/10/2023,304,2,152.00
GL042022526,31,322,07/12/2022,07/10/2023,304,-22,-13.82
GL042022528,31,305,07/12/2022,07/10/2023,304,-5,-60.80
GL042022537,31,341,07/12/2022,07/10/2023,304,-41,-7.41
GL042022539,31,256,07/12/2022,07/10/2023,304,44,6.91
GL042022541,31,348,07/12/2022,07/10/2023,304,-48,-6.33
GL042022540,31,281,07/12/2022,07/10/2023,304,19,16.00
GL042022493,31,266,07/12/2022,07/10/2023,304,34,8.94
GL042022542,31,344,07/12/2022,07/10/2023,304,-44,-6.91
GL042022543,31,381,07/12/2022,07/10/2023,304,-81,-3.75
GL042022546,31,338,07/12/2022,07/10/2023,304,-38,-8.00
GL052022547,31,334,07/12/2022,07/10/2023,304,-34,-8.94
GL052022548,31,313,07/12/2022,07/10/2023,304,-13,-23.38
GL052022554,31,313,07/12/2022,07/10/2023,304,-13,-23.38
GL052022559,31,355,07/12/2022,07/10/2023,304,-55,-5.53
GL052022560,31,321,07/12/2022,07/10/2023,304,-21,-14.48
GL052022565,31,228,07/12/2022,07/10/2023,304,72,4.22
GL052022567,31,332,07/12/2022,07/10/2023,304,-32,-9.50
GL052022577,31,269,07/12/2022,07/10/2023,304,31,9.81
GL052022574,31,301,07/12/2022,07/10/2023,304,-1,-304.00
GL042022499,31,268,07/12/2022,07/10/2023,304,32,9.50
GL022022338,31,312,07/12/2022,07/10/2023,304,-12,-25.33
GL102021153,31,311,07/12/2022,07/10/2023,304,-11,-27.64
GL082021111,31,280,07/12/2022,07/10/2023,304,20,15.20
GL032022396,31,260,07/12/2022,07/10/2023,304,40,7.60
GL042022480,32,292,30/10/2022,30/08/2023,304,8,38.00
GL042022495,32,279,30/10/2022,30/08/2023,304,21,14.48
GL042022506,32,297,30/10/2022,30/08/2023,304,3,101.33
GL042022509,32,352,30/10/2022,30/08/2023,304,-52,-5.85
GL042022512,32,318,30/10/2022,30/08/2023,304,-18,-16.89
GL042022520,32,254,30/10/2022,30/08/2023,304,46,6.61
GL042022522,32,323,30/10/2022,30/08/2023,304,-23,-13.22
GL042022523,32,293,30/10/2022,30/08/2023,304,7,43.43
GL042022533,32,258,30/10/2022,30/08/2023,304,42,7.24
GL042022534,32,288,30/10/2022,30/08/2023,304,12,25.33
GL042022535,32,342,30/10/2022,30/08/2023,304,-42,-7.24
GL042022538,32,345,30/10/2022,30/08/2023,304,-45,-6.76
GL042022536,32,239,30/10/2022,30/08/2023,304,61,4.98
GL042022545,32,281,30/10/2022,30/08/2023,304,19,16.00
GL052022549,32,294,30/10/2022,30/08/2023,304,6,50.67
GL052022550,32,313,30/10/2022,30/08/2023,304,-13,-23.38
GL052022551,32,327,30/10/2022,30/08/2023,304,-27,-11.26
GL052022553,32,272,30/10/2022,30/08/2023,304,28,10.86
GL052022556,32,284,30/10/2022,30/08/2023,304,16,19.00
GL052022557,32,376,30/10/2022,30/08/2023,304,-76,-4.00
GL052022563,32,317,30/10/2022,30/08/2023,304,-17,-17.88
GL052022568,32,285,30/10/2022,30/08/2023,304,15,20.27
GL042022472,32,362,30/10/2022,30/08/2023,304,-62,-4.90
GL032022423,32,335,30/10/2022,30/08/2023,304,-35,-8.69
GL052022569,32,308,30/10/2022,30/08/2023,304,-8,-38.00
GL042022529,32,333,30/10/2022,30/08/2023,304,-33,-9.21
GL042022530,32,312,30/10/2022,30/08/2023,304,-12,-25.33
GL052022576,32,298,30/10/2022,30/08/2023,304,2,152.00
GL052022586,32,303,30/10/2022,30/08/2023,304,-3,-101.33
GL052022587,32,300,30/10/2022,30/08/2023,304,0,#DIV/0!
GL052022602,32,343,30/10/2022,30/08/2023,304,-43,-7.07
GL052022606,32,308,30/10/2022,30/08/2023,304,-8,-38.00
NA,32,311,30/10/2022,30/08/2023,304,-11,-27.64
NA,32,311,30/10/2022,30/08/2023,304,-11,-27.64
GL052022637,32,272,30/10/2022,30/08/2023,304,28,10.86
GL052022654,32,317,30/10/2022,30/08/2023,304,-17,-17.88
GL052022585,32,293,30/10/2022,30/08/2023,304,7,43.43
GL032022414,32,260,30/10/2022,30/08/2023,304,40,7.60
GL032022353,32,254,30/10/2022,30/08/2023,304,46,6.61
GL052022605,32,382,30/10/2022,30/08/2023,304,-82,-3.71
NA,32,311,30/10/2022,30/08/2023,304,-11,-27.64
GL042022504,32,325,30/10/2022,30/08/2023,304,-25,-12.16
GL062022695,32,338,30/10/2022,30/08/2023,304,-38,-8.00
GL042022458,33,298,17/12/2022,17/10/2023,304,2,152.00
GL042022458,33,298,17/12/2022,17/10/2023,304,2,152.00
GL052022562,33,318,17/12/2022,17/10/2023,304,-18,-16.89
GL052022566,33,329,17/12/2022,17/10/2023,304,-29,-10.48
GL052022580,33,304,17/12/2022,17/10/2023,304,-4,-76.00
GL052022583,33,313,17/12/2022,17/10/2023,304,-13,-23.38
GL052022590,33,335,17/12/2022,17/10/2023,304,-35,-8.69
NA,33,311,17/12/2022,17/10/2023,304,-11,-27.64
GL052022607,33,306,17/12/2022,17/10/2023,304,-6,-50.67
GL052022610,33,271,17/12/2022,17/10/2023,304,29,10.48
GL052022614,33,295,17/12/2022,17/10/2023,304,5,60.80
GL052022617,33,259,17/12/2022,17/10/2023,304,41,7.41
GL052022619,33,288,17/12/2022,17/10/2023,304,12,25.33
GL052022621,33,278,17/12/2022,17/10/2023,304,22,13.82
GL052022630,33,333,17/12/2022,17/10/2023,304,-33,-9.21
GL052022623,33,242,17/12/2022,17/10/2023,304,58,5.24
GL052022634,33,315,17/12/2022,17/10/2023,304,-15,-20.27
GL052022643,33,337,17/12/2022,17/10/2023,304,-37,-8.22
GL052022648,33,256,17/12/2022,17/10/2023,304,44,6.91
GL052022650,33,233,17/12/2022,17/10/2023,304,67,4.54
GL052022653,33,323,17/12/2022,17/10/2023,304,-23,-13.22
GL052022655,33,343,17/12/2022,17/10/2023,304,-43,-7.07
GL052022636,33,269,17/12/2022,17/10/2023,304,31,9.81
GL052022657,33,279,17/12/2022,17/10/2023,304,21,14.48
GL052022658,33,288,17/12/2022,17/10/2023,304,12,25.33
GL052022661,33,290,17/12/2022,17/10/2023,304,10,30.40
GL042021036,33,323,17/12/2022,17/10/2023,304,-23,-13.22
GL042022521,33,253,17/12/2022,17/10/2023,304,47,6.47
GL042022470,33,267,17/12/2022,17/10/2023,304,33,9.21
GL032022434,33,339,17/12/2022,17/10/2023,304,-39,-7.79
GL042022517,33,362,17/12/2022,17/10/2023,304,-62,-4.90
GL032022356,33,289,17/12/2022,17/10/2023,304,11,27.64
GL042022516,33,308,17/12/2022,17/10/2023,304,-8,-38.00
GL052022631,33,334,17/12/2022,17/10/2023,304,-34,-8.94
GL062022725,33,308,17/12/2022,17/10/2023,304,-8,-38.00
GL072022800,33,299,17/12/2022,17/10/2023,304,1,304.00
GL052022571,34,268,26/07/2022,26/05/2023,304,32,9.50
GL052022573,34,297,26/07/2022,26/05/2023,304,3,101.33
NA,34,311,26/07/2022,26/05/2023,304,-11,-27.64
GL042022532,34,333,26/07/2022,26/05/2023,304,-33,-9.21
GL052022578,34,311,26/07/2022,26/05/2023,304,-11,-27.64
GL052022579,34,335,26/07/2022,26/05/2023,304,-35,-8.69
GL052022601,34,297,26/07/2022,26/05/2023,304,3,101.33
GL052022588,34,308,26/07/2022,26/05/2023,304,-8,-38.00
GL052022589,34,297,26/07/2022,26/05/2023,304,3,101.33
GL122021225,34,245,26/07/2022,26/05/2023,304,55,5.53
GL052022591,34,320,26/07/2022,26/05/2023,304,-20,-15.20
GL052022595,34,302,26/07/2022,26/05/2023,304,-2,-152.00
GL052022598,34,252,26/07/2022,26/05/2023,304,48,6.33
GL052022599,34,298,26/07/2022,26/05/2023,304,2,152.00
GL052022596,34,339,26/07/2022,26/05/2023,304,-39,-7.79
GL052022603,34,337,26/07/2022,26/05/2023,304,-37,-8.22
GL052022604,34,332,26/07/2022,26/05/2023,304,-32,-9.50
GL052022609,34,310,26/07/2022,26/05/2023,304,-10,-30.40
GL052022552,34,248,26/07/2022,26/05/2023,304,52,5.85
GL052022611,34,331,26/07/2022,26/05/2023,304,-31,-9.81
GL052022613,34,297,26/07/2022,26/05/2023,304,3,101.33
GL052022615,34,320,26/07/2022,26/05/2023,304,-20,-15.20
GL052022618,34,284,26/07/2022,26/05/2023,304,16,19.00
GL052022593,34,354,26/07/2022,26/05/2023,304,-54,-5.63
NA,34,311,26/07/2022,26/05/2023,304,-11,-27.64
GL052022622,34,257,26/07/2022,26/05/2023,304,43,7.07
GL052022624,34,283,26/07/2022,26/05/2023,304,17,17.88
GL052022627,34,277,26/07/2022,26/05/2023,304,23,13.22
GL052022626,34,284,26/07/2022,26/05/2023,304,16,19.00
GL052022625,34,309,26/07/2022,26/05/2023,304,-9,-33.78
GL052022628,34,250,26/07/2022,26/05/2023,304,50,6.08
GL052022629,34,324,26/07/2022,26/05/2023,304,-24,-12.67
GL052022632,34,253,26/07/2022,26/05/2023,304,47,6.47
GL052022633,34,246,26/07/2022,26/05/2023,304,54,5.63
GL052022638,34,301,26/07/2022,26/05/2023,304,-1,-304.00
GL052022641,34,246,26/07/2022,26/05/2023,304,54,5.63
GL052022642,34,339,26/07/2022,26/05/2023,304,-39,-7.79
GL052022645,34,291,26/07/2022,26/05/2023,304,9,33.78
GL052022647,34,271,26/07/2022,26/05/2023,304,29,10.48
GL052022649,34,261,26/07/2022,26/05/2023,304,39,7.79
GL052022646,34,297,26/07/2022,26/05/2023,304,3,101.33
GL052022644,34,342,26/07/2022,26/05/2023,304,-42,-7.24
GL052022651,34,289,26/07/2022,26/05/2023,304,11,27.64
GL052022652,34,336,26/07/2022,26/05/2023,304,-36,-8.44
GL052022656,34,289,26/07/2022,26/05/2023,304,11,27.64
GL052022660,34,285,26/07/2022,26/05/2023,304,15,20.27
GL052022594,34,348,26/07/2022,26/05/2023,304,-48,-6.33
NA,34,311,26/07/2022,26/05/2023,304,-11,-27.64
GL052022570,34,286,26/07/2022,26/05/2023,304,14,21.71
GL032021021,34,357,26/07/2022,26/05/2023,304,-57,-5.33
GL052022564,34,251,26/07/2022,26/05/2023,304,49,6.20
GL122021241,34,231,26/07/2022,26/05/2023,304,69,4.41
GL032022410,34,307,26/07/2022,26/05/2023,304,-7,-43.43
GL052022662,35,254,03/08/2022,03/06/2023,304,46,6.61
GL062022667,35,275,03/08/2022,03/06/2023,304,25,12.16
GL062022670,35,267,03/08/2022,03/06/2023,304,33,9.21
GL062022669,35,287,03/08/2022,03/06/2023,304,13,23.38
GL062022675,35,250,03/08/2022,03/06/2023,304,50,6.08
GL062022677,35,295,03/08/2022,03/06/2023,304,5,60.80
GL062022678,35,307,03/08/2022,03/06/2023,304,-7,-43.43
GL062022679,35,323,03/08/2022,03/06/2023,304,-23,-13.22
GL062022683,35,279,03/08/2022,03/06/2023,304,21,14.48
GL062022684,35,327,03/08/2022,03/06/2023,304,-27,-11.26
GL062022688,35,323,03/08/2022,03/06/2023,304,-23,-13.22
GL062022691,35,226,03/08/2022,03/06/2023,304,74,4.11
GL062022692,35,299,03/08/2022,03/06/2023,304,1,304.00
GL062022693,35,317,03/08/2022,03/06/2023,304,-17,-17.88
GL062022697,35,268,03/08/2022,03/06/2023,304,32,9.50
GL062022702,35,318,03/08/2022,03/06/2023,304,-18,-16.89
GL062022703,35,308,03/08/2022,03/06/2023,304,-8,-38.00
GL062022706,35,270,03/08/2022,03/06/2023,304,30,10.13
GL062022707,35,314,03/08/2022,03/06/2023,304,-14,-21.71
GL062022708,35,329,03/08/2022,03/06/2023,304,-29,-10.48
GL062022714,35,271,03/08/2022,03/06/2023,304,29,10.48
GL062022717,35,285,03/08/2022,03/06/2023,304,15,20.27
GL062022721,35,336,03/08/2022,03/06/2023,304,-36,-8.44
GL062022723,35,280,03/08/2022,03/06/2023,304,20,15.20
GL062022728,35,236,03/08/2022,03/06/2023,304,64,4.75
GL062022729,35,293,03/08/2022,03/06/2023,304,7,43.43
GL062022731,35,287,03/08/2022,03/06/2023,304,13,23.38
GL062022733,35,268,03/08/2022,03/06/2023,304,32,9.50
GL062022736,35,341,03/08/2022,03/06/2023,304,-41,-7.41
GL062022738,35,290,03/08/2022,03/06/2023,304,10,30.40
GL042022508,35,334,03/08/2022,03/06/2023,304,-34,-8.94
GL062022744,35,263,03/08/2022,03/06/2023,304,37,8.22
GL062022746,35,253,03/08/2022,03/06/2023,304,47,6.47
GL062022747,35,301,03/08/2022,03/06/2023,304,-1,-304.00
GL062022756,35,302,03/08/2022,03/06/2023,304,-2,-152.00
GL062022768,35,293,03/08/2022,03/06/2023,304,7,43.43
GL052022555,35,336,03/08/2022,03/06/2023,304,-36,-8.44
GL062022745,35,280,03/08/2022,03/06/2023,304,20,15.20
GL102021163,35,288,03/08/2022,03/06/2023,304,12,25.33
GL062022665,36,333,28/02/2022,28/12/2022,303,-33,-9.18
GL062022666,36,336,28/02/2022,28/12/2022,303,-36,-8.42
GL062022676,36,304,28/02/2022,28/12/2022,303,-4,-75.75
GL062022671,36,288,28/02/2022,28/12/2022,303,12,25.25
GL062022672,36,317,28/02/2022,28/12/2022,303,-17,-17.82
NA,36,311,28/02/2022,28/12/2022,303,-11,-27.55
GL062022681,36,333,28/02/2022,28/12/2022,303,-33,-9.18
NA,36,311,28/02/2022,28/12/2022,303,-11,-27.55
GL062022685,36,302,28/02/2022,28/12/2022,303,-2,-151.50
GL062022686,36,289,28/02/2022,28/12/2022,303,11,27.55
GL062022689,36,266,28/02/2022,28/12/2022,303,34,8.91
GL062022690,36,281,28/02/2022,28/12/2022,303,19,15.95
GL062022694,36,264,28/02/2022,28/12/2022,303,36,8.42
GL062022698,36,251,28/02/2022,28/12/2022,303,49,6.18
GL062022701,36,333,28/02/2022,28/12/2022,303,-33,-9.18
GL062022704,36,250,28/02/2022,28/12/2022,303,50,6.06
GL062022715,36,279,28/02/2022,28/12/2022,303,21,14.43
GL062022713,36,329,28/02/2022,28/12/2022,303,-29,-10.45
GL062022716,36,268,28/02/2022,28/12/2022,303,32,9.47
GL062022718,36,323,28/02/2022,28/12/2022,303,-23,-13.17
GL062022719,36,274,28/02/2022,28/12/2022,303,26,11.65
GL062022720,36,335,28/02/2022,28/12/2022,303,-35,-8.66
GL062022722,36,253,28/02/2022,28/12/2022,303,47,6.45
GL062022724,36,291,28/02/2022,28/12/2022,303,9,33.67
GL062022726,36,287,28/02/2022,28/12/2022,303,13,23.31
GL062022732,36,286,28/02/2022,28/12/2022,303,14,21.64
GL062022735,36,295,28/02/2022,28/12/2022,303,5,60.60
GL062022741,36,293,28/02/2022,28/12/2022,303,7,43.29
GL062022742,36,292,28/02/2022,28/12/2022,303,8,37.88
GL062022748,36,352,28/02/2022,28/12/2022,303,-52,-5.83
GL052022640,36,337,28/02/2022,28/12/2022,303,-37,-8.19
GL062022674,36,295,28/02/2022,28/12/2022,303,5,60.60
GL062022739,36,353,28/02/2022,28/12/2022,303,-53,-5.72
GL052022608,36,297,28/02/2022,28/12/2022,303,3,101.00
GL052022600,36,324,28/02/2022,28/12/2022,303,-24,-12.63
GL062022700,36,329,28/02/2022,28/12/2022,303,-29,-10.45
GL062022727,37,268,05/04/2022,05/02/2023,306,32,9.56
GL062022711,37,336,05/04/2022,05/02/2023,306,-36,-8.50
GL122021239,37,249,05/04/2022,05/02/2023,306,51,6.00
GL062022751,37,301,05/04/2022,05/02/2023,306,-1,-306.00
GL062022752,37,286,05/04/2022,05/02/2023,306,14,21.86
GL062022753,37,302,05/04/2022,05/02/2023,306,-2,-153.00
GL062022757,37,273,05/04/2022,05/02/2023,306,27,11.33
NA,37,311,05/04/2022,05/02/2023,306,-11,-27.82
GL062022759,37,340,05/04/2022,05/02/2023,306,-40,-7.65
GL062022763,37,310,05/04/2022,05/02/2023,306,-10,-30.60
GL062022770,37,254,05/04/2022,05/02/2023,306,46,6.65
GL062022772,37,286,05/04/2022,05/02/2023,306,14,21.86
GL062022775,37,246,05/04/2022,05/02/2023,306,54,5.67
GL062022782,37,251,05/04/2022,05/02/2023,306,49,6.24
NA,37,311,05/04/2022,05/02/2023,306,-11,-27.82
NA,37,311,05/04/2022,05/02/2023,306,-11,-27.82
GL062022786,37,374,05/04/2022,05/02/2023,306,-74,-4.14
GL062022789,37,265,05/04/2022,05/02/2023,306,35,8.74
GL072022791,37,360,05/04/2022,05/02/2023,306,-60,-5.10
GL072022794,37,323,05/04/2022,05/02/2023,306,-23,-13.30
GL072022795,37,347,05/04/2022,05/02/2023,306,-47,-6.51
GL062022705,37,295,05/04/2022,05/02/2023,306,5,61.20
GL072022796,37,331,05/04/2022,05/02/2023,306,-31,-9.87
GL072022798,37,335,05/04/2022,05/02/2023,306,-35,-8.74
GL072022805,37,268,05/04/2022,05/02/2023,306,32,9.56
GL072022806,37,324,05/04/2022,05/02/2023,306,-24,-12.75
GL042022500,37,319,05/04/2022,05/02/2023,306,-19,-16.11
GL062022699,37,321,05/04/2022,05/02/2023,306,-21,-14.57
GL062022743,37,341,05/04/2022,05/02/2023,306,-41,-7.46
GL052022639,37,301,05/04/2022,05/02/2023,306,-1,-306.00
GL052022583,37,313,05/04/2022,05/02/2023,306,-13,-23.54
GL052022612,37,258,05/04/2022,05/02/2023,306,42,7.29
GL052022572,37,304,05/04/2022,05/02/2023,306,-4,-76.50
GL062022765,37,381,05/04/2022,05/02/2023,306,-81,-3.78
G122021218,37,325,05/04/2022,05/02/2023,306,-25,-12.24
GL052022582,37,330,05/04/2022,05/02/2023,306,-30,-10.20
GL042022515,37,311,05/04/2022,05/02/2023,306,-11,-27.82
GL042022468,37,345,05/04/2022,05/02/2023,306,-45,-6.80
GL042022451,37,291,05/04/2022,05/02/2023,306,9,34.00
GL122021235,37,319,05/04/2022,05/02/2023,306,-19,-16.11
GL042022516,37,308,05/04/2022,05/02/2023,306,-8,-38.25
GL062022790,37,249,05/04/2022,05/02/2023,306,51,6.00
GL072022801,38,283,05/03/2022,05/01/2023,306,17,18.00
GL072022802,38,289,05/03/2022,05/01/2023,306,11,27.82
GL072022797,38,357,05/03/2022,05/01/2023,306,-57,-5.37
GL072022792,38,335,05/03/2022,05/01/2023,306,-35,-8.74
GL062022781,38,319,05/03/2022,05/01/2023,306,-19,-16.11
GL062022785,38,360,05/03/2022,05/01/2023,306,-60,-5.10
GL072022793,38,327,05/03/2022,05/01/2023,306,-27,-11.33
GL062022766,38,288,05/03/2022,05/01/2023,306,12,25.50
GL062022767,38,305,05/03/2022,05/01/2023,306,-5,-61.20
GL072022813,38,343,05/03/2022,05/01/2023,306,-43,-7.12
GL072022802,38,289,05/03/2022,05/01/2023,306,11,27.82
GL062022762,38,302,05/03/2022,05/01/2023,306,-2,-153.00
GL062022779,38,350,05/03/2022,05/01/2023,306,-50,-6.12
GL072022804,38,309,05/03/2022,05/01/2023,306,-9,-34.00
GL072022836,38,298,05/03/2022,05/01/2023,306,2,153.00
GL032022430,38,311,05/03/2022,05/01/2023,306,-11,-27.82
GL062022771,38,281,05/03/2022,05/01/2023,306,19,16.11
GL062022778,38,251,05/03/2022,05/01/2023,306,49,6.24
GL072022827,38,314,05/03/2022,05/01/2023,306,-14,-21.86
GL062022737,38,303,05/03/2022,05/01/2023,306,-3,-102.00
GL062022784,38,261,05/03/2022,05/01/2023,306,39,7.85
GL062022764,38,266,05/03/2022,05/01/2023,306,34,9.00
GL072022815,38,242,05/03/2022,05/01/2023,306,58,5.28
GL062022774,38,334,05/03/2022,05/01/2023,306,-34,-9.00
GL072022809,38,357,05/03/2022,05/01/2023,306,-57,-5.37
GL062022750,38,341,05/03/2022,05/01/2023,306,-41,-7.46
GL062022754,38,255,05/03/2022,05/01/2023,306,45,6.80
GL072022812,38,339,05/03/2022,05/01/2023,306,-39,-7.85
GL062022788,38,316,05/03/2022,05/01/2023,306,-16,-19.13
GL062022769,38,299,05/03/2022,05/01/2023,306,1,306.00
GL072022808,38,314,05/03/2022,05/01/2023,306,-14,-21.86
GL072022813,39,343,04/10/2022,04/08/2023,304,-43,-7.07
GL072022816,39,258,04/10/2022,04/08/2023,304,42,7.24
GL072022826,39,279,04/10/2022,04/08/2023,304,21,14.48
GL072022831,39,310,04/10/2022,04/08/2023,304,-10,-30.40
GL072022835,39,331,04/10/2022,04/08/2023,304,-31,-9.81
GL072022838,39,285,04/10/2022,04/08/2023,304,15,20.27
GL072022842,39,296,04/10/2022,04/08/2023,304,4,76.00
GL072022851,39,346,04/10/2022,04/08/2023,304,-46,-6.61
GL072022859,39,274,04/10/2022,04/08/2023,304,26,11.69
GL072022862,39,266,04/10/2022,04/08/2023,304,34,8.94
GL072022865,39,323,04/10/2022,04/08/2023,304,-23,-13.22
GL072022883,39,269,04/10/2022,04/08/2023,304,31,9.81
GL072022882,39,281,04/10/2022,04/08/2023,304,19,16.00
NA,39,311,04/10/2022,04/08/2023,304,-11,-27.64
GL072022921,39,253,04/10/2022,04/08/2023,304,47,6.47
GL062022710,39,341,04/10/2022,04/08/2023,304,-41,-7.41
NA,39,311,04/10/2022,04/08/2023,304,-11,-27.64
GL072022872,39,358,04/10/2022,04/08/2023,304,-58,-5.24
GL052022618,39,284,04/10/2022,04/08/2023,304,16,19.00
GL052022595,39,302,04/10/2022,04/08/2023,304,-2,-152.00
GL072022863,39,291,04/10/2022,04/08/2023,304,9,33.78
GL052022558,39,331,04/10/2022,04/08/2023,304,-31,-9.81
GL112021181,39,273,04/10/2022,04/08/2023,304,27,11.26
