SEN No.,Batch id,Batch No,Class Commencement Date,Assessment Date,Excel,Excel %Score,Assessment Date,Power BI,Power BI %Score,Assessment Date,SQL,SQL %Score,Assessment Date,Statistics,Statistics %Score,Assessment Date,Python,Python %Score,Assessment Date,Machine Learning,Machine Learning %Score,Assessment Date,AWS,AWS %Score,Assessment Date,Deep Learning,Deep Learning %Score,Assessment Date,NLP,NLP %Score,Total Marks,Pass Rate,Total Avg %,Pass/Fail
GL032022352,GL-B26,26,25/01/2022,25/02/2022,9,15.00,25/03/2022,37,61.67,25/04/2022,49,81.67,25/05/2022,35,58.33,25/06/2022,45,75.00,25/07/2022,4,6.67,25/08/2022,6,10.00,25/09/2022,59,98.33,25/10/2022,39,65.00,60,40,52.41,Pass
GL032022354,GL-B26,26,25/01/2022,25/02/2022,8,13.33,25/03/2022,20,33.33,25/04/2022,22,36.67,25/05/2022,23,38.33,25/06/2022,19,31.67,25/07/2022,12,20.00,25/08/2022,60,100.00,25/09/2022,57,95.00,25/10/2022,12,20.00,60,40,43.15,Fail
NA,GL-B26,26,25/01/2022,25/02/2022,40,66.67,25/03/2022,8,13.33,25/04/2022,19,31.67,25/05/2022,4,6.67,25/06/2022,57,95.00,25/07/2022,29,48.33,25/08/2022,49,81.67,25/09/2022,32,53.33,25/10/2022,30,50.00,60,40,49.63,Fail
GL032022363,GL-B26,26,25/01/2022,25/02/2022,42,70.00,25/03/2022,31,51.67,25/04/2022,50,83.33,25/05/2022,12,20.00,25/06/2022,35,58.33,25/07/2022,27,45.00,25/08/2022,51,85.00,25/09/2022,27,45.00,25/10/2022,59,98.33,60,40,61.85,Pass
GL012022293,GL-B26,26,25/01/2022,25/02/2022,56,93.33,25/03/2022,41,68.33,25/04/2022,30,50.00,25/05/2022,49,81.67,25/06/2022,3,5.00,25/07/2022,22,36.67,25/08/2022,13,21.67,25/09/2022,26,43.33,25/10/2022,39,65.00,60,40,51.67,Pass
GL032022366,GL-B26,26,25/01/2022,25/02/2022,36,60.00,25/03/2022,59,98.33,25/04/2022,30,50.00,25/05/2022,13,21.67,25/06/2022,14,23.33,25/07/2022,15,25.00,25/08/2022,20,33.33,25/09/2022,60,100.00,25/10/2022,2,3.33,60,40,46.11,Fail
GL032022369,GL-B26,26,25/01/2022,25/02/2022,42,70.00,25/03/2022,11,18.33,25/04/2022,32,53.33,25/05/2022,32,53.33,25/06/2022,57,95.00,25/07/2022,60,100.00,25/08/2022,30,50.00,25/09/2022,58,96.67,25/10/2022,24,40.00,60,40,64.07,Pass
GL032022371,GL-B26,26,25/01/2022,25/02/2022,41,68.33,25/03/2022,28,46.67,25/04/2022,8,13.33,25/05/2022,5,8.33,25/06/2022,20,33.33,25/07/2022,36,60.00,25/08/2022,46,76.67,25/09/2022,24,40.00,25/10/2022,26,43.33,60,40,43.33,Fail
GL032022378,GL-B26,26,25/01/2022,25/02/2022,60,100.00,25/03/2022,16,26.67,25/04/2022,37,61.67,25/05/2022,55,91.67,25/06/2022,32,53.33,25/07/2022,48,80.00,25/08/2022,18,30.00,25/09/2022,46,76.67,25/10/2022,7,11.67,60,40,59.07,Pass
GL032022379,GL-B26,26,25/01/2022,25/02/2022,36,60.00,25/03/2022,37,61.67,25/04/2022,47,78.33,25/05/2022,26,43.33,25/06/2022,7,11.67,25/07/2022,17,28.33,25/08/2022,46,76.67,25/09/2022,60,100.00,25/10/2022,46,76.67,60,40,59.63,Pass
NA,GL-B26,26,25/01/2022,25/02/2022,11,18.33,25/03/2022,15,25.00,25/04/2022,25,41.67,25/05/2022,36,60.00,25/06/2022,20,33.33,25/07/2022,29,48.33,25/08/2022,14,23.33,25/09/2022,45,75.00,25/10/2022,35,58.33,60,40,42.59,Fail
GL032022382,GL-B26,26,25/01/2022,25/02/2022,33,55.00,25/03/2022,25,41.67,25/04/2022,29,48.33,25/05/2022,29,48.33,25/06/2022,51,85.00,25/07/2022,54,90.00,25/08/2022,44,73.33,25/09/2022,52,86.67,25/10/2022,42,70.00,60,40,66.48,Pass
GL032022383,GL-B26,26,25/01/2022,25/02/2022,25,41.67,25/03/2022,22,36.67,25/04/2022,20,33.33,25/05/2022,45,75.00,25/06/2022,44,73.33,25/07/2022,13,21.67,25/08/2022,38,63.33,25/09/2022,11,18.33,25/10/2022,41,68.33,60,40,47.96,Fail
GL032022384,GL-B26,26,25/01/2022,25/02/2022,56,93.33,25/03/2022,51,85.00,25/04/2022,5,8.33,25/05/2022,37,61.67,25/06/2022,38,63.33,25/07/2022,5,8.33,25/08/2022,40,66.67,25/09/2022,36,60.00,25/10/2022,54,90.00,60,40,59.63,Pass
GL032022389,GL-B26,26,25/01/2022,25/02/2022,57,95.00,25/03/2022,27,45.00,25/04/2022,40,66.67,25/05/2022,27,45.00,25/06/2022,15,25.00,25/07/2022,35,58.33,25/08/2022,17,28.33,25/09/2022,47,78.33,25/10/2022,20,33.33,60,40,52.78,Pass
GL032022390,GL-B26,26,25/01/2022,25/02/2022,37,61.67,25/03/2022,47,78.33,25/04/2022,12,20.00,25/05/2022,40,66.67,25/06/2022,35,58.33,25/07/2022,15,25.00,25/08/2022,23,38.33,25/09/2022,52,86.67,25/10/2022,14,23.33,60,40,50.93,Pass
GL032022391,GL-B26,26,25/01/2022,25/02/2022,7,11.67,25/03/2022,14,23.33,25/04/2022,16,26.67,25/05/2022,27,45.00,25/06/2022,43,71.67,25/07/2022,40,66.67,25/08/2022,13,21.67,25/09/2022,58,96.67,25/10/2022,43,71.67,60,40,48.33,Fail
GL032022394,GL-B26,26,25/01/2022,25/02/2022,16,26.67,25/03/2022,50,83.33,25/04/2022,31,51.67,25/05/2022,29,48.33,25/06/2022,8,13.33,25/07/2022,55,91.67,25/08/2022,13,21.67,25/09/2022,8,13.33,25/10/2022,21,35.00,60,40,42.78,Fail
GL032022392,GL-B26,26,25/01/2022,25/02/2022,54,90.00,25/03/2022,56,93.33,25/04/2022,13,21.67,25/05/2022,18,30.00,25/06/2022,33,55.00,25/07/2022,57,95.00,25/08/2022,38,63.33,25/09/2022,1,1.67,25/10/2022,22,36.67,60,40,54.07,Pass
GL022022329,GL-B26,26,25/01/2022,25/02/2022,59,98.33,25/03/2022,53,88.33,25/04/2022,10,16.67,25/05/2022,56,93.33,25/06/2022,8,13.33,25/07/2022,57,95.00,25/08/2022,9,15.00,25/09/2022,12,20.00,25/10/2022,31,51.67,60,40,54.63,Pass
GL032022404,GL-B26,26,25/01/2022,25/02/2022,19,31.67,25/03/2022,20,33.33,25/04/2022,13,21.67,25/05/2022,51,85.00,25/06/2022,40,66.67,25/07/2022,11,18.33,25/08/2022,37,61.67,25/09/2022,25,41.67,25/10/2022,17,28.33,60,40,43.15,Fail
GL032022400,GL-B26,26,25/01/2022,25/02/2022,22,36.67,25/03/2022,41,68.33,25/04/2022,18,30.00,25/05/2022,1,1.67,25/06/2022,20,33.33,25/07/2022,17,28.33,25/08/2022,4,6.67,25/09/2022,36,60.00,25/10/2022,45,75.00,60,40,37.78,Fail
GL032022405,GL-B26,26,25/01/2022,25/02/2022,32,53.33,25/03/2022,16,26.67,25/04/2022,28,46.67,25/05/2022,12,20.00,25/06/2022,43,71.67,25/07/2022,24,40.00,25/08/2022,38,63.33,25/09/2022,21,35.00,25/10/2022,57,95.00,60,40,50.19,Pass
GL032022403,GL-B26,26,25/01/2022,25/02/2022,14,23.33,25/03/2022,58,96.67,25/04/2022,1,1.67,25/05/2022,52,86.67,25/06/2022,8,13.33,25/07/2022,19,31.67,25/08/2022,49,81.67,25/09/2022,23,38.33,25/10/2022,48,80.00,60,40,50.37,Pass
GL032022408,GL-B26,26,25/01/2022,25/02/2022,18,30.00,25/03/2022,41,68.33,25/04/2022,18,30.00,25/05/2022,34,56.67,25/06/2022,33,55.00,25/07/2022,36,60.00,25/08/2022,12,20.00,25/09/2022,20,33.33,25/10/2022,33,55.00,60,40,45.37,Fail
GL032022376,GL-B26,26,25/01/2022,25/02/2022,7,11.67,25/03/2022,45,75.00,25/04/2022,19,31.67,25/05/2022,30,50.00,25/06/2022,29,48.33,25/07/2022,52,86.67,25/08/2022,3,5.00,25/09/2022,46,76.67,25/10/2022,54,90.00,60,40,52.78,Pass
GL032022407,GL-B26,26,25/01/2022,25/02/2022,55,91.67,25/03/2022,15,25.00,25/04/2022,34,56.67,25/05/2022,56,93.33,25/06/2022,51,85.00,25/07/2022,36,60.00,25/08/2022,5,8.33,25/09/2022,19,31.67,25/10/2022,57,95.00,60,40,60.74,Pass
GL112021193,GL-B26,26,25/01/2022,25/02/2022,52,86.67,25/03/2022,10,16.67,25/04/2022,9,15.00,25/05/2022,10,16.67,25/06/2022,34,56.67,25/07/2022,48,80.00,25/08/2022,27,45.00,25/09/2022,27,45.00,25/10/2022,33,55.00,60,40,46.30,Fail
GL122021238,GL-B26,26,25/01/2022,25/02/2022,17,28.33,25/03/2022,19,31.67,25/04/2022,60,100.00,25/05/2022,12,20.00,25/06/2022,3,5.00,25/07/2022,34,56.67,25/08/2022,1,1.67,25/09/2022,10,16.67,25/10/2022,59,98.33,60,40,39.81,Fail
GL042022512,GL-B26,26,25/01/2022,25/02/2022,16,26.67,25/03/2022,15,25.00,25/04/2022,1,1.67,25/05/2022,28,46.67,25/06/2022,35,58.33,25/07/2022,20,33.33,25/08/2022,56,93.33,25/09/2022,5,8.33,25/10/2022,37,61.67,60,40,39.44,Fail
GL022022315,GL-B26,26,25/01/2022,25/02/2022,59,98.33,25/03/2022,36,60.00,25/04/2022,44,73.33,25/05/2022,39,65.00,25/06/2022,25,41.67,25/07/2022,34,56.67,25/08/2022,11,18.33,25/09/2022,55,91.67,25/10/2022,24,40.00,60,40,60.56,Pass
GL112021181,GL-B26,26,25/01/2022,25/02/2022,38,63.33,25/03/2022,4,6.67,25/04/2022,44,73.33,25/05/2022,34,56.67,25/06/2022,6,10.00,25/07/2022,20,33.33,25/08/2022,27,45.00,25/09/2022,46,76.67,25/10/2022,13,21.67,60,40,42.96,Fail
GL032022397,GL-B26,26,25/01/2022,25/02/2022,13,21.67,25/03/2022,26,43.33,25/04/2022,22,36.67,25/05/2022,53,88.33,25/06/2022,43,71.67,25/07/2022,57,95.00,25/08/2022,11,18.33,25/09/2022,49,81.67,25/10/2022,18,30.00,60,40,54.07,Pass
GL0120211892,GL-B27,27,02/10/2022,02/11/2022,32,53.33,02/12/2022,25,41.67,02/01/2023,13,21.67,02/02/2023,37,61.67,02/03/2023,28,46.67,02/04/2023,54,90.00,02/05/2023,60,100.00,02/06/2023,8,13.33,02/07/2023,12,20.00,60,40,49.81,Fail
GL022022323,GL-B27,27,02/10/2022,02/11/2022,14,23.33,02/12/2022,11,18.33,02/01/2023,13,21.67,02/02/2023,34,56.67,02/03/2023,15,25.00,02/04/2023,11,18.33,02/05/2023,34,56.67,02/06/2023,42,70.00,02/07/2023,57,95.00,60,40,42.78,Fail
GL022022330,GL-B27,27,02/10/2022,02/11/2022,57,95.00,02/12/2022,33,55.00,02/01/2023,48,80.00,02/02/2023,10,16.67,02/03/2023,53,88.33,02/04/2023,3,5.00,02/05/2023,10,16.67,02/06/2023,47,78.33,02/07/2023,26,43.33,60,40,53.15,Pass
GL022022330,GL-B27,27,02/10/2022,02/11/2022,27,45.00,02/12/2022,25,41.67,02/01/2023,48,80.00,02/02/2023,34,56.67,02/03/2023,22,36.67,02/04/2023,2,3.33,02/05/2023,37,61.67,02/06/2023,53,88.33,02/07/2023,48,80.00,60,40,54.81,Pass
GL022022347,GL-B27,27,02/10/2022,02/11/2022,39,65.00,02/12/2022,45,75.00,02/01/2023,28,46.67,02/02/2023,2,3.33,02/03/2023,51,85.00,02/04/2023,25,41.67,02/05/2023,45,75.00,02/06/2023,48,80.00,02/07/2023,48,80.00,60,40,61.30,Pass
GL022022348,GL-B27,27,02/10/2022,02/11/2022,20,33.33,02/12/2022,24,40.00,02/01/2023,27,45.00,02/02/2023,7,11.67,02/03/2023,25,41.67,02/04/2023,55,91.67,02/05/2023,43,71.67,02/06/2023,10,16.67,02/07/2023,43,71.67,60,40,47.04,Fail
GL032022350,GL-B27,27,02/10/2022,02/11/2022,26,43.33,02/12/2022,6,10.00,02/01/2023,42,70.00,02/02/2023,3,5.00,02/03/2023,46,76.67,02/04/2023,35,58.33,02/05/2023,37,61.67,02/06/2023,58,96.67,02/07/2023,55,91.67,60,40,57.04,Pass
GL102021157,GL-B27,27,02/10/2022,02/11/2022,20,33.33,02/12/2022,60,100.00,02/01/2023,49,81.67,02/02/2023,45,75.00,02/03/2023,58,96.67,02/04/2023,41,68.33,02/05/2023,30,50.00,02/06/2023,3,5.00,02/07/2023,19,31.67,60,40,60.19,Pass
GL032022351,GL-B27,27,02/10/2022,02/11/2022,49,81.67,02/12/2022,17,28.33,02/01/2023,26,43.33,02/02/2023,29,48.33,02/03/2023,44,73.33,02/04/2023,14,23.33,02/05/2023,5,8.33,02/06/2023,17,28.33,02/07/2023,31,51.67,60,40,42.96,Fail
GL022022308,GL-B27,27,02/10/2022,02/11/2022,48,80.00,02/12/2022,18,30.00,02/01/2023,58,96.67,02/02/2023,51,85.00,02/03/2023,14,23.33,02/04/2023,9,15.00,02/05/2023,10,16.67,02/06/2023,15,25.00,02/07/2023,47,78.33,60,40,50.00,Pass
GL022022326,GL-B27,27,02/10/2022,02/11/2022,37,61.67,02/12/2022,45,75.00,02/01/2023,26,43.33,02/02/2023,49,81.67,02/03/2023,19,31.67,02/04/2023,48,80.00,02/05/2023,54,90.00,02/06/2023,34,56.67,02/07/2023,8,13.33,60,40,59.26,Pass
GL032022355,GL-B27,27,02/10/2022,02/11/2022,24,40.00,02/12/2022,47,78.33,02/01/2023,29,48.33,02/02/2023,50,83.33,02/03/2023,35,58.33,02/04/2023,26,43.33,02/05/2023,28,46.67,02/06/2023,17,28.33,02/07/2023,13,21.67,60,40,49.81,Fail
GL012022288,GL-B27,27,02/10/2022,02/11/2022,13,21.67,02/12/2022,48,80.00,02/01/2023,38,63.33,02/02/2023,8,13.33,02/03/2023,31,51.67,02/04/2023,32,53.33,02/05/2023,30,50.00,02/06/2023,1,1.67,02/07/2023,44,73.33,60,40,45.37,Fail
GL022022319,GL-B27,27,02/10/2022,02/11/2022,33,55.00,02/12/2022,29,48.33,02/01/2023,60,100.00,02/02/2023,16,26.67,02/03/2023,50,83.33,02/04/2023,19,31.67,02/05/2023,52,86.67,02/06/2023,30,50.00,02/07/2023,15,25.00,60,40,56.30,Pass
GL032022361,GL-B27,27,02/10/2022,02/11/2022,42,70.00,02/12/2022,45,75.00,02/01/2023,56,93.33,02/02/2023,23,38.33,02/03/2023,9,15.00,02/04/2023,8,13.33,02/05/2023,45,75.00,02/06/2023,16,26.67,02/07/2023,14,23.33,60,40,47.78,Fail
GL102021161,GL-B27,27,02/10/2022,02/11/2022,27,45.00,02/12/2022,51,85.00,02/01/2023,43,71.67,02/02/2023,11,18.33,02/03/2023,13,21.67,02/04/2023,20,33.33,02/05/2023,31,51.67,02/06/2023,17,28.33,02/07/2023,29,48.33,60,40,44.81,Fail
GL032022375,GL-B27,27,02/10/2022,02/11/2022,51,85.00,02/12/2022,35,58.33,02/01/2023,55,91.67,02/02/2023,33,55.00,02/03/2023,40,66.67,02/04/2023,42,70.00,02/05/2023,31,51.67,02/06/2023,15,25.00,02/07/2023,27,45.00,60,40,60.93,Pass
GL032022377,GL-B27,27,02/10/2022,02/11/2022,27,45.00,02/12/2022,55,91.67,02/01/2023,12,20.00,02/02/2023,1,1.67,02/03/2023,52,86.67,02/04/2023,17,28.33,02/05/2023,10,16.67,02/06/2023,31,51.67,02/07/2023,29,48.33,60,40,43.33,Fail
GL032022385,GL-B27,27,02/10/2022,02/11/2022,12,20.00,02/12/2022,1,1.67,02/01/2023,15,25.00,02/02/2023,28,46.67,02/03/2023,26,43.33,02/04/2023,49,81.67,02/05/2023,4,6.67,02/06/2023,3,5.00,02/07/2023,14,23.33,60,40,28.15,Fail
GL032022386,GL-B27,27,02/10/2022,02/11/2022,22,36.67,02/12/2022,32,53.33,02/01/2023,21,35.00,02/02/2023,40,66.67,02/03/2023,30,50.00,02/04/2023,29,48.33,02/05/2023,39,65.00,02/06/2023,23,38.33,02/07/2023,24,40.00,60,40,48.15,Fail
GL032022387,GL-B27,27,02/10/2022,02/11/2022,36,60.00,02/12/2022,52,86.67,02/01/2023,39,65.00,02/02/2023,49,81.67,02/03/2023,44,73.33,02/04/2023,14,23.33,02/05/2023,57,95.00,02/06/2023,1,1.67,02/07/2023,14,23.33,60,40,56.67,Pass
GL032022388,GL-B27,27,02/10/2022,02/11/2022,40,66.67,02/12/2022,12,20.00,02/01/2023,55,91.67,02/02/2023,2,3.33,02/03/2023,22,36.67,02/04/2023,40,66.67,02/05/2023,12,20.00,02/06/2023,47,78.33,02/07/2023,30,50.00,60,40,48.15,Fail
GL032022398,GL-B27,27,02/10/2022,02/11/2022,58,96.67,02/12/2022,42,70.00,02/01/2023,46,76.67,02/02/2023,46,76.67,02/03/2023,21,35.00,02/04/2023,10,16.67,02/05/2023,44,73.33,02/06/2023,14,23.33,02/07/2023,23,38.33,60,40,56.30,Pass
GL032022399,GL-B27,27,02/10/2022,02/11/2022,34,56.67,02/12/2022,56,93.33,02/01/2023,16,26.67,02/02/2023,46,76.67,02/03/2023,22,36.67,02/04/2023,42,70.00,02/05/2023,32,53.33,02/06/2023,35,58.33,02/07/2023,28,46.67,60,40,57.59,Pass
GL032022401,GL-B27,27,02/10/2022,02/11/2022,46,76.67,02/12/2022,40,66.67,02/01/2023,3,5.00,02/02/2023,27,45.00,02/03/2023,27,45.00,02/04/2023,59,98.33,02/05/2023,12,20.00,02/06/2023,3,5.00,02/07/2023,60,100.00,60,40,51.30,Pass
GL032022402,GL-B27,27,02/10/2022,02/11/2022,55,91.67,02/12/2022,27,45.00,02/01/2023,28,46.67,02/02/2023,47,78.33,02/03/2023,9,15.00,02/04/2023,38,63.33,02/05/2023,23,38.33,02/06/2023,26,43.33,02/07/2023,5,8.33,60,40,47.78,Fail
GL032022428,GL-B27,27,02/10/2022,02/11/2022,42,70.00,02/12/2022,38,63.33,02/01/2023,41,68.33,02/02/2023,24,40.00,02/03/2023,42,70.00,02/04/2023,35,58.33,02/05/2023,50,83.33,02/06/2023,45,75.00,02/07/2023,36,60.00,60,40,65.37,Pass
GL012022309,GL-B27,27,02/10/2022,02/11/2022,17,28.33,02/12/2022,31,51.67,02/01/2023,35,58.33,02/02/2023,14,23.33,02/03/2023,6,10.00,02/04/2023,31,51.67,02/05/2023,46,76.67,02/06/2023,30,50.00,02/07/2023,35,58.33,60,40,45.37,Fail
GL032022393,GL-B27,27,02/10/2022,02/11/2022,46,76.67,02/12/2022,6,10.00,02/01/2023,48,80.00,02/02/2023,58,96.67,02/03/2023,13,21.67,02/04/2023,37,61.67,02/05/2023,48,80.00,02/06/2023,18,30.00,02/07/2023,51,85.00,60,40,60.19,Pass
GL032022420,GL-B27,27,02/10/2022,02/11/2022,33,55.00,02/12/2022,48,80.00,02/01/2023,58,96.67,02/02/2023,26,43.33,02/03/2023,21,35.00,02/04/2023,52,86.67,02/05/2023,55,91.67,02/06/2023,26,43.33,02/07/2023,5,8.33,60,40,60.00,Pass
GL112021214,GL-B27,27,02/10/2022,02/11/2022,32,53.33,02/12/2022,6,10.00,02/01/2023,58,96.67,02/02/2023,39,65.00,02/03/2023,32,53.33,02/04/2023,49,81.67,02/05/2023,1,1.67,02/06/2023,22,36.67,02/07/2023,34,56.67,60,40,50.56,Pass
GL032022406,GL-B27,27,02/10/2022,02/11/2022,25,41.67,02/12/2022,45,75.00,02/01/2023,11,18.33,02/02/2023,3,5.00,02/03/2023,5,8.33,02/04/2023,11,18.33,02/05/2023,12,20.00,02/06/2023,37,61.67,02/07/2023,44,73.33,60,40,35.74,Fail
GL022022307,GL-B27,27,02/10/2022,02/11/2022,6,10.00,02/12/2022,39,65.00,02/01/2023,27,45.00,02/02/2023,34,56.67,02/03/2023,32,53.33,02/04/2023,27,45.00,02/05/2023,14,23.33,02/06/2023,46,76.67,02/07/2023,47,78.33,60,40,50.37,Pass
GL032022416,GL-B28,28,20/07/2022,20/08/2022,24,40.00,20/09/2022,45,75.00,20/10/2022,30,50.00,20/11/2022,17,28.33,20/12/2022,26,43.33,20/01/2023,9,15.00,20/02/2023,54,90.00,20/03/2023,22,36.67,20/04/2023,30,50.00,60,40,47.59,Fail
NA,GL-B28,28,20/07/2022,20/08/2022,6,10.00,20/09/2022,43,71.67,20/10/2022,25,41.67,20/11/2022,53,88.33,20/12/2022,20,33.33,20/01/2023,4,6.67,20/02/2023,2,3.33,20/03/2023,1,1.67,20/04/2023,4,6.67,60,40,29.26,Fail
GL032022421,GL-B28,28,20/07/2022,20/08/2022,43,71.67,20/09/2022,58,96.67,20/10/2022,31,51.67,20/11/2022,24,40.00,20/12/2022,10,16.67,20/01/2023,4,6.67,20/02/2023,36,60.00,20/03/2023,14,23.33,20/04/2023,23,38.33,60,40,45.00,Fail
GL032022432,GL-B28,28,20/07/2022,20/08/2022,36,60.00,20/09/2022,13,21.67,20/10/2022,35,58.33,20/11/2022,28,46.67,20/12/2022,19,31.67,20/01/2023,39,65.00,20/02/2023,3,5.00,20/03/2023,17,28.33,20/04/2023,2,3.33,60,40,35.56,Fail
GL042022544,GL-B28,28,20/07/2022,20/08/2022,29,48.33,20/09/2022,5,8.33,20/10/2022,56,93.33,20/11/2022,36,60.00,20/12/2022,1,1.67,20/01/2023,54,90.00,20/02/2023,30,50.00,20/03/2023,13,21.67,20/04/2023,16,26.67,60,40,44.44,Fail
GL032022441,GL-B28,28,20/07/2022,20/08/2022,31,51.67,20/09/2022,54,90.00,20/10/2022,18,30.00,20/11/2022,2,3.33,20/12/2022,53,88.33,20/01/2023,40,66.67,20/02/2023,53,88.33,20/03/2023,36,60.00,20/04/2023,30,50.00,60,40,58.70,Pass
GL042022466,GL-B28,28,20/07/2022,20/08/2022,55,91.67,20/09/2022,48,80.00,20/10/2022,52,86.67,20/11/2022,8,13.33,20/12/2022,55,91.67,20/01/2023,12,20.00,20/02/2023,37,61.67,20/03/2023,41,68.33,20/04/2023,3,5.00,60,40,57.59,Pass
GL042022455,GL-B28,28,20/07/2022,20/08/2022,59,98.33,20/09/2022,5,8.33,20/10/2022,38,63.33,20/11/2022,20,33.33,20/12/2022,24,40.00,20/01/2023,48,80.00,20/02/2023,11,18.33,20/03/2023,48,80.00,20/04/2023,4,6.67,60,40,47.59,Fail
GL032022418,GL-B28,28,20/07/2022,20/08/2022,42,70.00,20/09/2022,22,36.67,20/10/2022,37,61.67,20/11/2022,33,55.00,20/12/2022,55,91.67,20/01/2023,47,78.33,20/02/2023,13,21.67,20/03/2023,24,40.00,20/04/2023,60,100.00,60,40,61.67,Pass
GL032022435,GL-B28,28,20/07/2022,20/08/2022,20,33.33,20/09/2022,48,80.00,20/10/2022,46,76.67,20/11/2022,37,61.67,20/12/2022,49,81.67,20/01/2023,20,33.33,20/02/2023,47,78.33,20/03/2023,15,25.00,20/04/2023,52,86.67,60,40,61.85,Pass
GL042022484,GL-B28,28,20/07/2022,20/08/2022,18,30.00,20/09/2022,18,30.00,20/10/2022,26,43.33,20/11/2022,23,38.33,20/12/2022,35,58.33,20/01/2023,57,95.00,20/02/2023,16,26.67,20/03/2023,3,5.00,20/04/2023,8,13.33,60,40,37.78,Fail
GL012022286,GL-B28,28,20/07/2022,20/08/2022,36,60.00,20/09/2022,28,46.67,20/10/2022,11,18.33,20/11/2022,31,51.67,20/12/2022,40,66.67,20/01/2023,34,56.67,20/02/2023,1,1.67,20/03/2023,19,31.67,20/04/2023,46,76.67,60,40,45.56,Fail
GL032022409,GL-B28,28,20/07/2022,20/08/2022,21,35.00,20/09/2022,47,78.33,20/10/2022,33,55.00,20/11/2022,20,33.33,20/12/2022,7,11.67,20/01/2023,11,18.33,20/02/2023,38,63.33,20/03/2023,12,20.00,20/04/2023,13,21.67,60,40,37.41,Fail
GL042022481,GL-B28,28,20/07/2022,20/08/2022,38,63.33,20/09/2022,32,53.33,20/10/2022,43,71.67,20/11/2022,46,76.67,20/12/2022,41,68.33,20/01/2023,39,65.00,20/02/2023,20,33.33,20/03/2023,35,58.33,20/04/2023,33,55.00,60,40,60.56,Pass
GL032022374,GL-B28,28,20/07/2022,20/08/2022,56,93.33,20/09/2022,26,43.33,20/10/2022,19,31.67,20/11/2022,8,13.33,20/12/2022,54,90.00,20/01/2023,49,81.67,20/02/2023,9,15.00,20/03/2023,40,66.67,20/04/2023,24,40.00,60,40,52.78,Pass
GL032022422,GL-B28,28,20/07/2022,20/08/2022,22,36.67,20/09/2022,3,5.00,20/10/2022,39,65.00,20/11/2022,36,60.00,20/12/2022,16,26.67,20/01/2023,19,31.67,20/02/2023,4,6.67,20/03/2023,24,40.00,20/04/2023,45,75.00,60,40,38.52,Fail
GL032022417,GL-B28,28,20/07/2022,20/08/2022,11,18.33,20/09/2022,16,26.67,20/10/2022,42,70.00,20/11/2022,52,86.67,20/12/2022,23,38.33,20/01/2023,14,23.33,20/02/2023,22,36.67,20/03/2023,30,50.00,20/04/2023,57,95.00,60,40,49.44,Fail
GL042022473,GL-B28,28,20/07/2022,20/08/2022,51,85.00,20/09/2022,4,6.67,20/10/2022,23,38.33,20/11/2022,32,53.33,20/12/2022,45,75.00,20/01/2023,34,56.67,20/02/2023,43,71.67,20/03/2023,38,63.33,20/04/2023,40,66.67,60,40,57.41,Pass
GL042022487,GL-B28,28,20/07/2022,20/08/2022,47,78.33,20/09/2022,27,45.00,20/10/2022,6,10.00,20/11/2022,32,53.33,20/12/2022,7,11.67,20/01/2023,30,50.00,20/02/2023,35,58.33,20/03/2023,60,100.00,20/04/2023,59,98.33,60,40,56.11,Pass
GL042022491,GL-B28,28,20/07/2022,20/08/2022,7,11.67,20/09/2022,17,28.33,20/10/2022,22,36.67,20/11/2022,27,45.00,20/12/2022,12,20.00,20/01/2023,34,56.67,20/02/2023,15,25.00,20/03/2023,38,63.33,20/04/2023,32,53.33,60,40,37.78,Fail
GL032022411,GL-B28,28,20/07/2022,20/08/2022,30,50.00,20/09/2022,15,25.00,20/10/2022,6,10.00,20/11/2022,34,56.67,20/12/2022,31,51.67,20/01/2023,38,63.33,20/02/2023,21,35.00,20/03/2023,35,58.33,20/04/2023,12,20.00,60,40,41.11,Fail
GL032022443,GL-B28,28,20/07/2022,20/08/2022,26,43.33,20/09/2022,50,83.33,20/10/2022,52,86.67,20/11/2022,1,1.67,20/12/2022,25,41.67,20/01/2023,9,15.00,20/02/2023,13,21.67,20/03/2023,50,83.33,20/04/2023,9,15.00,60,40,43.52,Fail
GL042022462,GL-B28,28,20/07/2022,20/08/2022,37,61.67,20/09/2022,57,95.00,20/10/2022,58,96.67,20/11/2022,22,36.67,20/12/2022,47,78.33,20/01/2023,50,83.33,20/02/2023,46,76.67,20/03/2023,7,11.67,20/04/2023,16,26.67,60,40,62.96,Pass
GL042022446,GL-B28,28,20/07/2022,20/08/2022,45,75.00,20/09/2022,3,5.00,20/10/2022,49,81.67,20/11/2022,2,3.33,20/12/2022,12,20.00,20/01/2023,25,41.67,20/02/2023,15,25.00,20/03/2023,49,81.67,20/04/2023,19,31.67,60,40,40.56,Fail
GL042022485,GL-B28,28,20/07/2022,20/08/2022,26,43.33,20/09/2022,44,73.33,20/10/2022,22,36.67,20/11/2022,43,71.67,20/12/2022,19,31.67,20/01/2023,33,55.00,20/02/2023,22,36.67,20/03/2023,59,98.33,20/04/2023,57,95.00,60,40,60.19,Pass
